saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2012,6,690467.0319091211,3937,5,4,2.5,1907,Lowry Hill,Calhoun-Isles,6192,0,FALSE
2014,7,235571.701656435,1440,2,1,1.7,1919,Cooper,Longfellow,5160,0,FALSE
2005,7,272507.66546947154,1835,2,1,1.7,1913,Hiawatha,Longfellow,5040,0,FALSE
2010,6,277767.4667010437,2016,3,2,2.5,1910,King Field,Southwest,4875,0,FALSE
2010,2,148324.05962785517,2004,3,1,1,1956,Shingle Creek,Camden,5060,0,FALSE
2013,9,242871.92135100882,2822,3,3,2,1934,Cleveland,Camden,6307,2,TRUE
2011,1,442942.48757838394,2882,4,3,1.7,1951,Armatage,Southwest,6500,2,TRUE
2007,9,336270.1357487761,1979,3,2,1.5,1929,Ericsson,Nokomis,5600,0,FALSE
2013,10,361795.91473408963,3140,4,2,1.5,1940,Diamond Lake,Nokomis,6350,1,TRUE
2007,6,308541.80298599653,3574,3,2,2.5,1900,Seward,Longfellow,7536,0,FALSE
2013,7,177122.54186346073,1248,3,2,1,1917,Cooper,Longfellow,5160,0,FALSE
2011,8,293051.78986846877,2122,3,2,2.5,1907,Lyndale,Powderhorn,4991,0,FALSE
2012,5,225456.35796828344,1752,2,2,1.5,1915,Keewaydin,Nokomis,6384,0,FALSE
2010,2,272916.2697152535,2696,3,1,1.5,1931,Field,Nokomis,5192,1,TRUE
2015,7,384514.4811245452,2835,3,2,1.5,1929,Northrop,Nokomis,5208,1,TRUE
2015,6,705157.4327707578,4765,6,2,2.5,1886,Lowry Hill,Calhoun-Isles,6750,1,TRUE
2007,10,271147.18676800997,1728,2,2,1,1923,Armatage,Southwest,3973,0,FALSE
2015,6,474082.7663397249,2560,3,2,1.7,1947,Kenny,Southwest,6350,1,TRUE
2010,4,227697.90665262213,1704,2,1,1.2,1922,Longfellow,Longfellow,4953,0,FALSE
2013,4,468271.39264097466,2648,3,3,1.7,1905,East Harriet,Southwest,5420,0,FALSE
2014,2,114930.43851121009,1834,3,2,1.5,1948,Folwell,Camden,4641,0,FALSE
2012,5,240674.66213114257,2016,3,2,2,2000,Como,University,5240,0,FALSE
2007,7,217334.04623247255,1812,2,1,1,1946,Morris Park,Nokomis,5120,0,FALSE
2005,6,332762.0030975736,2383,3,2,2.2,1904,CARAG,Calhoun-Isles,4857,0,FALSE
2013,8,193266.3970940991,2642,4,2,2.5,1900,Lyndale,Powderhorn,6680,0,FALSE
2011,12,274591.07572736917,4126,3,4,2,2012,Linden Hills,Southwest,6430,1,TRUE
2011,1,426506.99001297547,2976,4,3,1.5,1920,Fulton,Southwest,5120,1,TRUE
2009,2,211999.80066288993,1890,2,2,2,1900,Sheridan,Northeast,2970,0,FALSE
2007,1,257270.17209258885,2262,3,2,1.7,1909,Seward,Longfellow,2081,1,TRUE
2012,6,264848.2610141604,1950,3,2,1.2,1940,Hale,Nokomis,5098,0,FALSE
2014,9,167194.70096051408,1198,2,1,1.5,1900,Powderhorn Park,Powderhorn,3700,0,FALSE
2006,2,254720.80240722166,1875,3,1,1.2,1923,Field,Nokomis,5207,0,FALSE
2009,6,240070.7667954747,1771,3,2,1.7,1904,Central,Powderhorn,7565,0,FALSE
2014,8,258410.30910469135,2166,3,2,1.5,1946,Bancroft,Powderhorn,4990,0,FALSE
2011,1,160275.2422158626,2078,3,1,2.5,1909,Central,Powderhorn,5200,0,FALSE
2013,11,295159.4703118326,1990,2,2,1.7,1900,King Field,Southwest,5240,0,FALSE
2011,7,171581.445906076,1882,3,2,1.2,1949,Ericsson,Nokomis,5120,1,TRUE
2012,5,139782.94194033573,2240,3,2,1,1954,Marshall Terrace,Northeast,7991,0,FALSE
2006,11,357379.801980198,2652,4,2,2.5,1911,Central,Powderhorn,5098,0,FALSE
